grade,semester,normalized_course_name,display_course_name,pair_codes,years_present,code_1,code_1_2022_status,code_1_2022_generation,code_1_2023_status,code_1_2023_generation,code_1_2024_status,code_1_2024_generation,code_2,code_2_2022_status,code_2_2022_generation,code_2_2023_status,code_2_2023_generation,code_2_2024_status,code_2_2024_generation,resolved_member_count,resolved_member_codes,resolved_generations,continuity_pattern,review_priority,continuity_note
5,1,지역약국예비실무실습,지역약국 예비실무실습,ADA115;ADB075,2022;2023;2024,ADA115,paired_unknown,,paired_unknown,,probable,six_year,ADB075,paired_unknown,,paired_unknown,,paired_unknown,,1,ADA115,six_year,one_member_resolved_probable_only,medium,one member is resolved only through probable evidence; useful for review but not safe for propagation
5,2,동물용의약품학,동물용의약품학,ADA121;ADB089,2022;2023;2024,ADA121,paired_unknown,,paired_unknown,,paired_unknown,,ADB089,paired_unknown,,paired_unknown,,paired_unknown,,0,,,never_resolved,high,pair repeats across years but neither member has independent generation resolution
5,2,약무행정실무필수실습,약무행정실무필수실습,ADA174;ADB087,2022;2023;2024,ADA174,paired_unknown,,paired_unknown,,probable,six_year,ADB087,paired_unknown,,paired_unknown,,paired_unknown,,1,ADA174,six_year,one_member_resolved_probable_only,medium,one member is resolved only through probable evidence; useful for review but not safe for propagation
5,2,약전및품질관리학,약전 및 품질관리학,ADA167;ADB081,2022;2023;2024,ADA167,paired_unknown,,paired_unknown,,probable,six_year,ADB081,paired_unknown,,paired_unknown,,paired_unknown,,1,ADA167,six_year,one_member_resolved_probable_only,medium,one member is resolved only through probable evidence; useful for review but not safe for propagation
5,2,한약제제학,한약제제학,ADA140;ADB080,2022;2023;2024,ADA140,paired_unknown,,paired_unknown,,probable,six_year,ADB080,paired_unknown,,paired_unknown,,paired_unknown,,1,ADA140,six_year,one_member_resolved_probable_only,medium,one member is resolved only through probable evidence; useful for review but not safe for propagation
6,1,의료기관약국필수실무실습1,의료기관약국 필수실무실습 1,ADA213;ADB093,2022;2023;2024,ADA213,paired_unknown,,paired_unknown,,probable,six_year,ADB093,paired_unknown,,paired_unknown,,paired_unknown,,1,ADA213,six_year,one_member_resolved_probable_only,medium,one member is resolved only through probable evidence; useful for review but not safe for propagation
6,1,의료기관약국필수실무실습2,의료기관약국 필수실무실습 2,ADA214;ADB094,2022;2023;2024,ADA214,paired_unknown,,paired_unknown,,probable,six_year,ADB094,paired_unknown,,paired_unknown,,paired_unknown,,1,ADA214,six_year,one_member_resolved_probable_only,medium,one member is resolved only through probable evidence; useful for review but not safe for propagation
6,1,의료기관약국필수실무실습3,의료기관약국 필수실무실습 3,ADA215;ADB095,2022;2023;2024,ADA215,paired_unknown,,paired_unknown,,probable,six_year,ADB095,paired_unknown,,paired_unknown,,paired_unknown,,1,ADA215,six_year,one_member_resolved_probable_only,medium,one member is resolved only through probable evidence; useful for review but not safe for propagation
6,1,의료기관약국필수실무실습4,의료기관약국 필수실무실습 4,ADA216;ADB096,2022;2023;2024,ADA216,paired_unknown,,paired_unknown,,probable,six_year,ADB096,paired_unknown,,paired_unknown,,paired_unknown,,1,ADA216,six_year,one_member_resolved_probable_only,medium,one member is resolved only through probable evidence; useful for review but not safe for propagation
6,1,제약산업필수실무실습,제약산업 필수실무실습,ADA218;ADB097,2022;2023;2024,ADA218,paired_unknown,,paired_unknown,,probable,six_year,ADB097,paired_unknown,,paired_unknown,,paired_unknown,,1,ADA218,six_year,one_member_resolved_probable_only,medium,one member is resolved only through probable evidence; useful for review but not safe for propagation
6,1,지역약국필수실무실습1,지역약국 필수실무실습 1,ADA219;ADB092,2022;2023;2024,ADA219,paired_unknown,,paired_unknown,,probable,six_year,ADB092,paired_unknown,,paired_unknown,,paired_unknown,,1,ADA219,six_year,one_member_resolved_probable_only,medium,one member is resolved only through probable evidence; useful for review but not safe for propagation
6,2,심화실습1,심화실습 1,ADA226;ADB099,2022;2023;2024,ADA226,paired_unknown,,paired_unknown,,probable,six_year,ADB099,paired_unknown,,paired_unknown,,paired_unknown,,1,ADA226,six_year,one_member_resolved_probable_only,medium,one member is resolved only through probable evidence; useful for review but not safe for propagation
6,2,심화실습2,심화실습 2,ADA227;ADB100,2022;2023;2024,ADA227,paired_unknown,,paired_unknown,,probable,six_year,ADB100,paired_unknown,,paired_unknown,,paired_unknown,,1,ADA227,six_year,one_member_resolved_probable_only,medium,one member is resolved only through probable evidence; useful for review but not safe for propagation
6,2,지역약국필수실무실습2,지역약국 필수실무실습 2,ADA220;ADB098,2022;2023;2024,ADA220,paired_unknown,,paired_unknown,,probable,six_year,ADB098,paired_unknown,,paired_unknown,,paired_unknown,,1,ADA220,six_year,one_member_resolved_probable_only,medium,one member is resolved only through probable evidence; useful for review but not safe for propagation
