entry_year,grade,semester,course_name,course_code,completion_type,credits,notes
2024,3,1,약물유전체학,ADB085,전선,3,"대표 학정번호 ADB085: 2026-1 개설 이력 기준. 이전 확인 코드: ADA063(2023-1, 약물유전체학)."
2024,3,1,생약학1,ADB026,전필,2,"대표 학정번호 ADB026: 2026-1 개설 이력 기준. 이전 확인 코드: ADA065(2023-1, 생약학 1)."
2024,3,1,자원생약학,ADA228,전선,2,대표 학정번호 ADA228: 2024-1 개설 이력 기준.
2024,3,1,약학실험3,ADB031,전필,2,"대표 학정번호 ADB031: 2026-1 개설 이력 기준. 이전 확인 코드: ADA184(2024-1, 약학실험 3)."
2024,3,1,의약품기기분석학1,ADB030,전필,2,대표 학정번호 ADB030: 2026-1 개설 이력 기준.
2024,3,1,제제과학1,ADB027,전필,3,"대표 학정번호 ADB027: 2026-1 개설 이력 기준. 이전 확인 코드: ADA186(2023-1, 제제과학 1)."
2024,3,1,보건사회약학,ADB029,전필,3,"대표 학정번호 ADB029: 2026-1 개설 이력 기준. 이전 확인 코드: ADA193(2024-1, 보건사회약학)."
2024,3,2,약물학2,ADB033,전필,3,"대표 학정번호 ADB033: 2026-2 개설 이력 기준. 이전 확인 코드: ADA001(2024-2, 약물학 2)."
2024,3,2,약학용어,ADB076,전필,1,대표 학정번호 ADB076: 2026-2 개설 이력 기준.
2024,3,2,감염성미생물학,ADB034,전필,2,대표 학정번호 ADB034: 2026-2 개설 이력 기준.
2024,3,2,임상면역학,ADB035,전선,1,"대표 학정번호 ADB035: 2026-2 개설 이력 기준. 이전 확인 코드: ADA190(2025-2, 임상면역학)."
2024,3,2,독성학,,전선,3,"2024학번 교육과정에서는 독성학 단일 과목, 전선 3학점으로 기록. 2026학년도 수강편람에서는 독성학1(ADA234, 2학점)과 독성학2(ADA235, 2학점)가 각각 개설됨. 단일 과목의 코드 변경이 아니라 과목 분리로 보이며, 2024학번 독성학과의 대체·인정 관계는 미확정. 2022-1~2026-2 수강편람 데이터에서 일치하는 개설 이력을 확인하지 못함."
2024,3,2,생약학2,ADB036,전필,2,"대표 학정번호 ADB036: 2026-2 개설 이력 기준. 이전 확인 코드: ADA055(2023-2, 생약학 2)."
2024,3,2,약학실험4,ADB041,전필,2,"대표 학정번호 ADB041: 2026-2 개설 이력 기준. 이전 확인 코드: ADA192(2024-2, 약학실험 4)."
2024,3,2,의약품합성학,ADA198,전필,2,대표 학정번호 ADA198: 2026-2 개설 이력 기준.
2024,3,2,의약품기기분석학2,ADB040,전필,2,대표 학정번호 ADB040: 2026-2 개설 이력 기준.
2024,3,2,법화학,ADB106,전선,2,대표 학정번호 ADB106: 2026-2 개설 이력 기준.
2024,3,2,제제과학2,ADB037,전필,3,"대표 학정번호 ADB037: 2026-2 개설 이력 기준. 이전 확인 코드: ADA187(2023-2, 제제과학 2)."
2024,3,2,약사커뮤니케이션,ADB039,전선,2,대표 학정번호 ADB039: 2026-2 개설 이력 기준.
2024,4,1,내분비계 및 류마티스 질환 약물치료학,ADA148,전선,2,대표 학정번호 ADA148: 2026-2 개설 이력 기준.
2024,4,1,조제학,ADA053,전선,,2024학번 이수체계도상 4학년 1학기 과목. 동일 학년·학기의 교육과정표 행은 확인되지 않음. 학점은 추가 확인 필요. 대표 학정번호 ADA053: 2023-2 개설 이력 기준.
2024,4,1,방제학,,전선,,2024학번 이수체계도상 4학년 1학기 전선 과목. 학점은 추가 확인 필요. 2022-1~2026-2 수강편람에서 동일하거나 유사한 과목명과 학정번호를 확인하지 못함. 2022-1~2026-2 수강편람 데이터에서 일치하는 개설 이력을 확인하지 못함.
2024,4,1,감염질환을 위한 항생물질학,ADB045,전필,2,"대표 학정번호 ADB045: 2026-1 개설 이력 기준. 이전 확인 코드: ADA209(2025-1, 감염질환을 위한 항생물질학)."
2024,4,1,임상미생물학,ADB046,전선,2,대표 학정번호 ADB046: 2026-1 개설 이력 기준.
2024,4,1,예방약학1,ADB044,전필,3,"대표 학정번호 ADB044: 2026-1 개설 이력 기준. 이전 확인 코드: ADA132(2025-1, 예방약학 1)."
2024,4,1,나노약학,,전선,2,2024학번 이수체계도상 4학년 1학기 전선 2학점. 2022-1~2026-2 현재 수집된 수강편람 데이터에서는 동일하거나 유사한 과목명과 학정번호를 확인하지 못함. 2022-1~2026-2 수강편람 데이터에서 일치하는 개설 이력을 확인하지 못함.
2024,4,1,의약화학1,ADB047,전필,2,"사용자 확정: 2024학번 기준 전필 2학점. 대표 학정번호는 가장 최근 개설 이력을 사용. 대표 학정번호 ADB047: 2026-1 개설 이력 기준. 이전 확인 코드: ADA102(2024-1, 의약화학 1)."
2024,4,1,천연물의약품학,ADB048,전선,2,"대표 학정번호 ADB048: 2026-1 개설 이력 기준. 이전 확인 코드: ADA122(2024-1, 천연물의약품학)."
2024,4,1,제제과학 실험,ADB051,전필,2,대표 학정번호 ADB051: 2026-1 개설 이력 기준.
2024,4,1,향장품학,ADB043,전선,2,"대표 학정번호 ADB043: 2026-1 개설 이력 기준. 이전 확인 코드: ADA120(2024-1, 향장품학)."
2024,4,2,감염성 질환 약물치료학,ADA147,전필,2,대표 학정번호 ADA147: 2026-2 개설 이력 기준.
2024,4,2,호흡기계 및 소화기계 질환 약물치료학,ADA145,전선,2,대표 학정번호 ADA145: 2026-1 개설 이력 기준.
2024,4,2,심혈관계질환 및 약물치료학,ADB082,전선,3,"실제 개설명은 심혈관계 질환 약물치료학. 대표 학정번호 ADB082: 2026-2 개설 이력 기준. 실제 최근 개설명은 '심혈관계 질환 약물치료학'. 이전 확인 코드: ADA136(2024-2, 심혈관계 질환 약물치료학)."
2024,4,2,바이오의약품학,ADB056,전선,2,대표 학정번호 ADB056: 2026-2 개설 이력 기준.
2024,4,2,예방약학2,ADB055,전필,2,"대표 학정번호 ADB055: 2026-2 개설 이력 기준. 이전 확인 코드: ADA109(2025-2, 예방약학 2)."
2024,4,2,임상영양학,ADA233,전선,2,대표 학정번호 ADA233: 2026-1 개설 이력 기준.
2024,4,2,의약품설계학,ADB066,전선,3,"대표 학정번호 ADB066: 2025-1 개설 이력 기준. 이전 확인 코드: ADA197(2022-2, 의약품설계학)."
2024,4,2,의약화학2,ADB059,전선,2,"사용자 확정: 2024학번 기준 전선 2학점. 대표 학정번호는 가장 최근 개설 이력을 사용. 대표 학정번호 ADB059: 2026-2 개설 이력 기준. 이전 확인 코드: ADA103(2024-2, 의약화학 2)."
2024,4,2,바이오의약품 분석,ADB060,전선,2,대표 학정번호 ADB060: 2026-1 개설 이력 기준.
2024,4,2,생물약제학,ADB057,전선,2,"대표 학정번호 ADB057: 2026-2 개설 이력 기준. 이전 확인 코드: ADA033(2023-2, 생물약제학)."
2024,4,2,약물동태학,ADB058,전선,3,"2024학번 기준 전선 3학점으로 확정. 과거 교육과정표에는 2학점 코드도 존재함. 대표 학정번호 ADB058: 2026-2 개설 이력 기준. 이전 확인 코드: ADA086(2023-2, 약물동태학)."
2024,4,2,보건의약관계법규,ADB064,전필,2,"대표 학정번호 ADB064: 2026-2 개설 이력 기준. 이전 확인 코드: ADA194(2025-2, 보건의약관계법규)."
2024,4,2,약사윤리,ADB065,전선,1,대표 학정번호 ADB065: 2026-2 개설 이력 기준.
2024,5,1,지역약국 예비실무실습,ADA115,전필,2,대표 학정번호 ADA115: 2026-1 개설 이력 기준.
2024,5,1,항암약물요법1,ADB103,전필,2,대표 학정번호 ADB103: 2026-1 개설 이력 기준.
2024,5,1,신경정신계 질환 약물치료학,ADB104,전선,2,대표 학정번호 ADB104: 2025-1 개설 이력 기준.
2024,5,1,신장질환 약물치료학,ADB108,전선,2,대표 학정번호 ADB108: 2026-2 개설 이력 기준.
2024,5,1,일반의약품학,ADB084,전선,3,대표 학정번호 ADB084: 2026-1 개설 이력 기준.
2024,5,1,약물신호전달학,,전선,2,2024학번 이수체계도상 5학년 1학기 전선 2학점. 2022-1~2026-2 수강편람에서 동일하거나 유사한 과목명과 학정번호를 확인하지 못함. 2022-1~2026-2 수강편람 데이터에서 일치하는 개설 이력을 확인하지 못함.
2024,5,1,의약품제조관리학,ADA171,전선,3,대표 학정번호 ADA171: 2026-1 개설 이력 기준.
2024,5,1,약업경영학,ADA118,전선,2,대표 학정번호 ADA118: 2026-1 개설 이력 기준.
2024,5,1,의약정보학과 경제성평가,ADB073,전필,2,대표 학정번호 ADB073: 2026-1 개설 이력 기준.
2024,5,2,임상약학해설,ADB083,전필,1,"대표 학정번호 ADB083: 2026-2 개설 이력 기준. 이전 확인 코드: ADA137(2024-2, 임상약학 해설)."
2024,5,2,항암약물요법2,ADB107,전선,2,대표 학정번호 ADB107: 2025-2 개설 이력 기준.
2024,5,2,의료기관약국예비실습,ADA217,전필,2,대표 학정번호 ADA217: 2026-1 개설 이력 기준. 실제 최근 개설명은 '의료기관약국 예비실무실습'.
2024,5,2,의약품허가,,전선,3,2024학번 이수체계도상 5학년 2학기 전선 3학점. 2022-1~2026-2 수강편람에서 동일하거나 유사한 과목명과 학정번호를 확인하지 못함. 2022-1~2026-2 수강편람 데이터에서 일치하는 개설 이력을 확인하지 못함.
2024,5,2,신약개발정보학,,전선,2,2024학번 이수체계도상 5학년 2학기 전선 2학점. 2022-1~2026-2 수강편람에서 동일하거나 유사한 과목명과 학정번호를 확인하지 못함. 2022-1~2026-2 수강편람 데이터에서 일치하는 개설 이력을 확인하지 못함.
2024,5,2,종양생물학,,전선,2,"2024학번 이수체계도상 5학년 2학기 전선 2학점. 2022-1~2026-2 수강편람에서 동일 과목명 개설 이력은 확인되지 않음. 2026-2에 혈액종양약물치료학(ADA238, 전선 2학점)이 개설됐으나, 종양생물학과 동일·대체 과목이라는 근거는 확인되지 않음. 2022-1~2026-2 수강편람 데이터에서 일치하는 개설 이력을 확인하지 못함."
2024,5,2,동물용의약품학,ADB089,전선,1,"2024학번 기준 전선 1학점으로 확정. 다른 연도 교육과정에는 2학점 행도 존재함. 대표 학정번호 ADB089: 2026-1 개설 이력 기준. 이전 확인 코드: ADA121(2024-2, 동물용의약품학)."
2024,5,2,건강기능식품학,ADB050,전선,2,"대표 학정번호 ADB050: 2026-2 개설 이력 기준. 이전 확인 코드: ADA182(2024-2, 건강기능식품학)."
2024,5,2,한약제제학,ADA140,전필,2,대표 학정번호 ADA140: 2026-2 개설 이력 기준.
2024,5,2,약전 및 품질관리학,ADA167,전선,3,대표 학정번호 ADA167: 2026-2 개설 이력 기준.
2024,5,2,약무행정실무필수실습,ADA174,전필,1,대표 학정번호 ADA174: 2026-2 개설 이력 기준.
2024,6,1,지역약국 필수실무실습1,ADA219,전필,2,대표 학정번호 ADA219: 2026-1 개설 이력 기준.
2024,6,1,의료기관약국 필수실무실습1,ADA213,전필,3,대표 학정번호 ADA213: 2026-1 개설 이력 기준.
2024,6,1,의료기관약국 필수실무실습2,ADA214,전필,2,대표 학정번호 ADA214: 2026-1 개설 이력 기준.
2024,6,1,의료기관약국 필수실무실습3,ADA215,전필,3,대표 학정번호 ADA215: 2026-1 개설 이력 기준.
2024,6,1,의료기관약국 필수실무실습4,ADA216,전필,2,대표 학정번호 ADA216: 2026-1 개설 이력 기준.
2024,6,1,제약산업 필수실무실습,ADA218,전필,2,대표 학정번호 ADA218: 2026-1 개설 이력 기준.
2024,6,2,지역약국 필수실무실습2,ADA220,전필,3,대표 학정번호 ADA220: 2026-2 개설 이력 기준.
2024,6,2,심화실습1,ADA226,전필,5,대표 학정번호 ADA226: 2026-2 개설 이력 기준.
2024,6,2,심화실습2,ADA227,전필,5,대표 학정번호 ADA227: 2026-2 개설 이력 기준.
