academic_year,classification,confidence,source_kind,course_name,baseline_code,seed_code,baseline_grade,seed_grade,baseline_semester,seed_semester,baseline_completion_type,seed_completion_type,baseline_credits,seed_credits,changed_fields,db_signal,baseline_db_terms,seed_db_terms,exact_name_db_codes,attribute_change_effective_year,evidence,recommended_action
2023,seed_wrong_or_suspect_code,high,code_pair,한약제제학,ADA140,ADB080,5,5,2,2,전필,전필,2,2,,baseline_code_only_in_db,2022-2;2023-2;2024-2;2025-2;2026-2,,ADA140,,baseline_code_has_actual_offering_history;seed_code_has_no_actual_offering_history;same_name_unique_pair,Review seed representative course_code. Do not change baseline.
2022,needs_manual_mapping,medium,seed_only,내분비계 및 류마티스 질환 약물치료학,,ADA148,,5,,2,,전선,,2,,,,2022-2;2023-2;2024-2;2025-2;2026-2,ADA148,,seed_only_course_has_actual_offering_history_from:2022;first_offering_year_does_not_prove_post_baseline_addition;no_baseline_counterpart,Review curriculum provenance or explicit change metadata. Do not infer a later curriculum addition from offering year alone.
2022,needs_manual_mapping,medium,seed_only,독성학1,,ADA234,,5,,1,,전선,,2,,,,2026-1,ADA234,,seed_only_course_has_actual_offering_history_from:2026;first_offering_year_does_not_prove_post_baseline_addition;no_baseline_counterpart,Review curriculum provenance or explicit change metadata. Do not infer a later curriculum addition from offering year alone.
2022,needs_manual_mapping,medium,seed_only,독성학2,,ADA235,,5,,2,,전선,,2,,,,2026-2,ADA235,,seed_only_course_has_actual_offering_history_from:2026;first_offering_year_does_not_prove_post_baseline_addition;no_baseline_counterpart,Review curriculum provenance or explicit change metadata. Do not infer a later curriculum addition from offering year alone.
2022,needs_manual_mapping,medium,seed_only,동물용의약품학,,ADB089,,5,,1,,전선,,1,,,,2026-1,ADA121;ADB089,,seed_only_course_has_actual_offering_history_from:2026;first_offering_year_does_not_prove_post_baseline_addition;no_baseline_counterpart,Review curriculum provenance or explicit change metadata. Do not infer a later curriculum addition from offering year alone.
2022,needs_manual_mapping,medium,seed_only,방제학,,ADB078,,5,,1,,전선,,3,,,,,,,seed_only_course_has_no_actual_offering_history;no_baseline_counterpart,Review curriculum provenance or explicit change metadata. Do not infer a later curriculum addition from offering year alone.
2022,needs_manual_mapping,medium,seed_only,신장질환약물치료학,,ADB108,,5,,2,,전필,,2,,,,2024-1;2025-1;2026-2,ADB108,,seed_only_course_has_actual_offering_history_from:2024;first_offering_year_does_not_prove_post_baseline_addition;no_baseline_counterpart,Review curriculum provenance or explicit change metadata. Do not infer a later curriculum addition from offering year alone.
2022,needs_manual_mapping,medium,seed_only,약사와 건강증진,,ADA239,,5,,2,,전선,,2,,,,2026-2,ADA239,,seed_only_course_has_actual_offering_history_from:2026;first_offering_year_does_not_prove_post_baseline_addition;no_baseline_counterpart,Review curriculum provenance or explicit change metadata. Do not infer a later curriculum addition from offering year alone.
2022,needs_manual_mapping,medium,seed_only,유용천연물소재학,,ADB113,,5,,2,,전선,,3,,,,2025-2;2026-2,ADB113,,seed_only_course_has_actual_offering_history_from:2025;first_offering_year_does_not_prove_post_baseline_addition;no_baseline_counterpart,Review curriculum provenance or explicit change metadata. Do not infer a later curriculum addition from offering year alone.
2022,needs_manual_mapping,medium,seed_only,의약품합성학,,ADA198,,3,,2,,전필,,2,,,,2022-2;2024-2;2025-2;2026-2,ADA198,,seed_only_course_has_actual_offering_history_from:2022;first_offering_year_does_not_prove_post_baseline_addition;no_baseline_counterpart,Review curriculum provenance or explicit change metadata. Do not infer a later curriculum addition from offering year alone.
2022,needs_manual_mapping,medium,seed_only,임상생화학,,ADA183,,5,,1,,전선,,2,,,,2022-2;2023-2;2024-2;2026-1,ADA183,,seed_only_course_has_actual_offering_history_from:2022;first_offering_year_does_not_prove_post_baseline_addition;no_baseline_counterpart,Review curriculum provenance or explicit change metadata. Do not infer a later curriculum addition from offering year alone.
2022,needs_manual_mapping,medium,seed_only,임상약물동태학,,ADA150,,5,,1,,전선,,2,,,,2022-1;2023-1;2024-1;2026-1,ADA150,,seed_only_course_has_actual_offering_history_from:2022;first_offering_year_does_not_prove_post_baseline_addition;no_baseline_counterpart,Review curriculum provenance or explicit change metadata. Do not infer a later curriculum addition from offering year alone.
2022,needs_manual_mapping,medium,seed_only,임상영양학,,ADA233,,4,,1,,전선,,2,,,,2023-2;2024-2;2025-1;2026-1,ADA233,,seed_only_course_has_actual_offering_history_from:2023;first_offering_year_does_not_prove_post_baseline_addition;no_baseline_counterpart,Review curriculum provenance or explicit change metadata. Do not infer a later curriculum addition from offering year alone.
2022,needs_manual_mapping,medium,seed_only,자원생약학,,ADA228,,3,,1,,전선,,2,,,,2024-1,ADA228,,seed_only_course_has_actual_offering_history_from:2024;first_offering_year_does_not_prove_post_baseline_addition;no_baseline_counterpart,Review curriculum provenance or explicit change metadata. Do not infer a later curriculum addition from offering year alone.
2022,needs_manual_mapping,medium,seed_only,정신신경계질환 약물치료학,,ADB109,,4,,1,,전필,,2,,,,2025-1;2026-1,ADB109,,seed_only_course_has_actual_offering_history_from:2025;first_offering_year_does_not_prove_post_baseline_addition;no_baseline_counterpart,Review curriculum provenance or explicit change metadata. Do not infer a later curriculum addition from offering year alone.
2022,needs_manual_mapping,medium,seed_only,제제과학의실습,,ADB111,,4,,1,,전필,,2,,,,2025-1,ADB111,,seed_only_course_has_actual_offering_history_from:2025;first_offering_year_does_not_prove_post_baseline_addition;no_baseline_counterpart,Review curriculum provenance or explicit change metadata. Do not infer a later curriculum addition from offering year alone.
2022,needs_manual_mapping,medium,seed_only,특수환자군 정밀의료학,,ADA237,,5,,2,,전필,,2,,,,2026-2,ADA237,,seed_only_course_has_actual_offering_history_from:2026;first_offering_year_does_not_prove_post_baseline_addition;no_baseline_counterpart,Review curriculum provenance or explicit change metadata. Do not infer a later curriculum addition from offering year alone.
2022,needs_manual_mapping,medium,seed_only,항암약물요법1,,ADB103,,5,,1,,전필,,2,,,,2024-1;2025-1;2026-1,ADB103,,seed_only_course_has_actual_offering_history_from:2024;first_offering_year_does_not_prove_post_baseline_addition;no_baseline_counterpart,Review curriculum provenance or explicit change metadata. Do not infer a later curriculum addition from offering year alone.
2022,needs_manual_mapping,medium,seed_only,향장품학,,ADB043,,4,,1,,전선,,2,,,,2026-1,ADA120;ADB043,,seed_only_course_has_actual_offering_history_from:2026;first_offering_year_does_not_prove_post_baseline_addition;no_baseline_counterpart,Review curriculum provenance or explicit change metadata. Do not infer a later curriculum addition from offering year alone.
2022,needs_manual_mapping,medium,seed_only,환경보건약학,,ADA236,,5,,1,,전선,,2,,,,2026-1,ADA236,,seed_only_course_has_actual_offering_history_from:2026;first_offering_year_does_not_prove_post_baseline_addition;no_baseline_counterpart,Review curriculum provenance or explicit change metadata. Do not infer a later curriculum addition from offering year alone.
2023,needs_manual_mapping,medium,same_code_changed,내분비계 및 류마티스 질환 약물치료,ADB063,ADB063,4,4,1,1,전선,전선,2,2,course_name,,,,,,same_course_code_core_attributes_differ;unsupported_fields=course_name;no_attribute_change_effective_year,Review historical versus current course attributes before changing either side.
2023,needs_manual_mapping,medium,seed_only,독성학1,,ADA234,,5,,1,,전선,,2,,,,2026-1,ADA234,,seed_only_course_has_actual_offering_history_from:2026;first_offering_year_does_not_prove_post_baseline_addition;no_baseline_counterpart,Review curriculum provenance or explicit change metadata. Do not infer a later curriculum addition from offering year alone.
2023,needs_manual_mapping,medium,seed_only,독성학2,,ADA235,,5,,2,,전선,,2,,,,2026-2,ADA235,,seed_only_course_has_actual_offering_history_from:2026;first_offering_year_does_not_prove_post_baseline_addition;no_baseline_counterpart,Review curriculum provenance or explicit change metadata. Do not infer a later curriculum addition from offering year alone.
2023,needs_manual_mapping,medium,seed_only,동물용의약품학,,ADB089,,5,,2,,전선,,2,,,,2026-1,ADA121;ADB089,,seed_only_course_has_actual_offering_history_from:2026;first_offering_year_does_not_prove_post_baseline_addition;no_baseline_counterpart,Review curriculum provenance or explicit change metadata. Do not infer a later curriculum addition from offering year alone.
2023,needs_manual_mapping,medium,seed_only,방제학,,ADB078,,4,,1,,전선,,3,,,,,,,seed_only_course_has_no_actual_offering_history;no_baseline_counterpart,Review curriculum provenance or explicit change metadata. Do not infer a later curriculum addition from offering year alone.
2023,needs_manual_mapping,medium,baseline_only,신경생리학,ADB004,,1,,2,,전선,,1,,,,2022-2,,ADA092;ADB004,,baseline_only_row_requires_identity_review;multiple_exact_name_db_codes,Manual mapping review required.
2023,needs_manual_mapping,medium,seed_only,신장질환약물치료학,,ADB108,,5,,2,,전필,,2,,,,2024-1;2025-1;2026-2,ADB108,,seed_only_course_has_actual_offering_history_from:2024;first_offering_year_does_not_prove_post_baseline_addition;no_baseline_counterpart,Review curriculum provenance or explicit change metadata. Do not infer a later curriculum addition from offering year alone.
2023,needs_manual_mapping,medium,same_code_changed,약학용어,ADB076,ADB076,2,3,2,2,전선,전필,2,1,grade;completion_type;credits,,,,,2025,"same_course_code_core_attributes_differ;supported_previous_fields=completion_type,credits;unsupported_fields=grade",Review historical versus current course attributes before changing either side.
2023,needs_manual_mapping,medium,seed_only,의약품합성학,,ADA198,,3,,2,,전필,,2,,,,2022-2;2024-2;2025-2;2026-2,ADA198,,seed_only_course_has_actual_offering_history_from:2022;first_offering_year_does_not_prove_post_baseline_addition;no_baseline_counterpart,Review curriculum provenance or explicit change metadata. Do not infer a later curriculum addition from offering year alone.
2023,needs_manual_mapping,medium,same_code_changed,일반의약품학,ADB084,ADB084,2,4,2,1,전선,전선,3,3,grade;semester,,,,,2026,same_course_code_core_attributes_differ;supported_previous_fields=semester;unsupported_fields=grade,Review historical versus current course attributes before changing either side.
2023,needs_manual_mapping,medium,seed_only,정신신경계질환 약물치료학,,ADB109,,4,,1,,전필,,2,,,,2025-1;2026-1,ADB109,,seed_only_course_has_actual_offering_history_from:2025;first_offering_year_does_not_prove_post_baseline_addition;no_baseline_counterpart,Review curriculum provenance or explicit change metadata. Do not infer a later curriculum addition from offering year alone.
2023,needs_manual_mapping,medium,same_code_changed,조제학,ADB077,ADB077,2,4,2,1,전선,전선,3,3,grade;semester,,,,,,"same_course_code_core_attributes_differ;unsupported_fields=grade,semester;no_attribute_change_effective_year",Review historical versus current course attributes before changing either side.
2023,needs_manual_mapping,medium,same_code_changed,종양생물학,ADB091,ADB091,2,5,2,2,전선,전선,2,2,grade,,,,,,same_course_code_core_attributes_differ;unsupported_fields=grade;no_attribute_change_effective_year,Review historical versus current course attributes before changing either side.
2023,needs_manual_mapping,medium,baseline_only,해부생리학,ADB001,,1,,1,,전선,,3,,,,2022-1,,ADA022;ADB001,,baseline_only_row_requires_identity_review;multiple_exact_name_db_codes,Manual mapping review required.
2023,needs_manual_mapping,medium,seed_only,향장품학,,ADB043,,4,,1,,전선,,2,,,,2026-1,ADA120;ADB043,,seed_only_course_has_actual_offering_history_from:2026;first_offering_year_does_not_prove_post_baseline_addition;no_baseline_counterpart,Review curriculum provenance or explicit change metadata. Do not infer a later curriculum addition from offering year alone.
2024,needs_manual_mapping,medium,baseline_only,AI 의료약학빅데이터,ADB053,,4,,1,,전선,,2,,,,,,,,baseline_only_row_requires_identity_review;no_actual_offering_history,Manual mapping review required.
2024,needs_manual_mapping,high,code_pair,감염성 질환 약물치료학,ADB069,ADA147,4,4,2,2,전필,전필,2,2,,seed_code_only_in_db,,2022-2;2023-2;2024-2;2025-2;2026-2,ADA147,,baseline_plan_code_has_no_offering_history;seed_code_has_actual_offering_history;cannot_infer_historical_identity_from_name_alone,Review planned curriculum code versus actual operational code. Do not automatically replace baseline code.
2024,needs_manual_mapping,high,seed_only,나노약학,,,,4,,1,,전선,,2,,,,,,,seed_course_code_is_blank,Do not assign a code automatically.
2024,needs_manual_mapping,medium,baseline_only,내분비계 및 류마티스 질환 약물치료,ADB063,,4,,1,,전선,,2,,,,,,,,baseline_only_row_requires_identity_review;no_actual_offering_history,Manual mapping review required.
2024,needs_manual_mapping,medium,seed_only,내분비계 및 류마티스 질환 약물치료학,,ADA148,,4,,1,,전선,,2,,,,2022-2;2023-2;2024-2;2025-2;2026-2,ADA148,,seed_only_course_has_actual_offering_history_from:2022;first_offering_year_does_not_prove_post_baseline_addition;no_baseline_counterpart,Review curriculum provenance or explicit change metadata. Do not infer a later curriculum addition from offering year alone.
2024,needs_manual_mapping,medium,seed_only,독성학1,,ADA234,,5,,1,,전선,,2,,,,2026-1,ADA234,,seed_only_course_has_actual_offering_history_from:2026;first_offering_year_does_not_prove_post_baseline_addition;no_baseline_counterpart,Review curriculum provenance or explicit change metadata. Do not infer a later curriculum addition from offering year alone.
2024,needs_manual_mapping,medium,seed_only,독성학2,,ADA235,,5,,2,,전선,,2,,,,2026-2,ADA235,,seed_only_course_has_actual_offering_history_from:2026;first_offering_year_does_not_prove_post_baseline_addition;no_baseline_counterpart,Review curriculum provenance or explicit change metadata. Do not infer a later curriculum addition from offering year alone.
2024,needs_manual_mapping,medium,seed_only,동물용의약품학,,ADB089,,5,,2,,전선,,1,,,,2026-1,ADA121;ADB089,,seed_only_course_has_actual_offering_history_from:2026;first_offering_year_does_not_prove_post_baseline_addition;no_baseline_counterpart,Review curriculum provenance or explicit change metadata. Do not infer a later curriculum addition from offering year alone.
2024,needs_manual_mapping,medium,baseline_only,무기방사성 의약품학,ADB052,,4,,1,,전선,,2,,,,,,,,baseline_only_row_requires_identity_review;no_actual_offering_history,Manual mapping review required.
2024,needs_manual_mapping,high,seed_only,방제학,,,,4,,1,,전선,,,,,,,,,seed_course_code_is_blank,Do not assign a code automatically.
2024,needs_manual_mapping,medium,seed_only,생약학개론,,ADB112,,3,,1,,전선,,2,,,,2025-1;2026-1,ADB112,,seed_only_course_has_actual_offering_history_from:2025;first_offering_year_does_not_prove_post_baseline_addition;no_baseline_counterpart,Review curriculum provenance or explicit change metadata. Do not infer a later curriculum addition from offering year alone.
2024,needs_manual_mapping,medium,baseline_only,신경생리학,ADB004,,1,,2,,전선,,1,,,,2022-2,,ADA092;ADB004,,baseline_only_row_requires_identity_review;multiple_exact_name_db_codes,Manual mapping review required.
2024,needs_manual_mapping,medium,baseline_only,신경정신계 및 신장 질환 약물치료학,ADB062,,5,,1,,전필,,3,,,,,,,,baseline_only_row_requires_identity_review;no_actual_offering_history,Manual mapping review required.
2024,needs_manual_mapping,high,code_pair,신약개발정보학,ADB090,,5,5,2,2,전선,전선,2,2,,seed_code_missing,,,,,seed_course_code_is_blank;same_name_pair_exists,Leave seed code blank until independent code evidence is confirmed.
2024,needs_manual_mapping,medium,same_code_changed,심혈관계 질환 약물치료학,ADB082,ADB082,5,4,2,2,전선,전선,3,3,grade;course_name,,,,,,"same_course_code_core_attributes_differ;unsupported_fields=grade,course_name;no_attribute_change_effective_year",Review historical versus current course attributes before changing either side.
2024,needs_manual_mapping,high,code_pair,약물신호전달학,ADB079,,5,5,1,1,전선,전선,2,2,,seed_code_missing,,,,,seed_course_code_is_blank;same_name_pair_exists,Leave seed code blank until independent code evidence is confirmed.
2024,needs_manual_mapping,high,code_pair,약업경영학,ADB074,ADA118,5,5,1,1,전선,전선,2,2,,seed_code_only_in_db,,2022-2;2023-2;2024-2;2025-2;2026-1,ADA118,,baseline_plan_code_has_no_offering_history;seed_code_has_actual_offering_history;cannot_infer_historical_identity_from_name_alone,Review planned curriculum code versus actual operational code. Do not automatically replace baseline code.
2024,needs_manual_mapping,high,code_pair,의료기관약국예비실습,ADB086,ADA217,5,5,2,2,전필,전필,2,2,,seed_code_only_in_db,,2022-1;2023-1;2024-1;2025-1;2026-1,,,baseline_plan_code_has_no_offering_history;seed_code_has_actual_offering_history;cannot_infer_historical_identity_from_name_alone,Review planned curriculum code versus actual operational code. Do not automatically replace baseline code.
2024,needs_manual_mapping,high,code_pair,의약품허가,ADB088,,5,5,2,2,전선,전선,3,3,,seed_code_missing,,,,,seed_course_code_is_blank;same_name_pair_exists,Leave seed code blank until independent code evidence is confirmed.
2024,needs_manual_mapping,medium,same_code_changed,의약화학1,ADB047,ADB047,4,4,1,1,전선,전필,2,2,completion_type,,,,,,same_course_code_core_attributes_differ;unsupported_fields=completion_type;no_attribute_change_effective_year,Review historical versus current course attributes before changing either side.
2024,needs_manual_mapping,high,code_pair,조제학,ADB077,ADA053,2,4,2,1,전선,전선,3,,,seed_code_only_in_db,,2023-2,ADA053,,baseline_plan_code_has_no_offering_history;seed_code_has_actual_offering_history;cannot_infer_historical_identity_from_name_alone,Review planned curriculum code versus actual operational code. Do not automatically replace baseline code.
2024,needs_manual_mapping,high,code_pair,종양생물학,ADB091,,2,5,2,2,전선,전선,2,2,,seed_code_missing,,,,,seed_course_code_is_blank;same_name_pair_exists,Leave seed code blank until independent code evidence is confirmed.
2024,needs_manual_mapping,medium,baseline_only,해부생리학,ADB001,,1,,1,,전선,,3,,,,2022-1,,ADA022;ADB001,,baseline_only_row_requires_identity_review;multiple_exact_name_db_codes,Manual mapping review required.
2024,needs_manual_mapping,medium,seed_only,향장품학,,ADB043,,4,,1,,전선,,2,,,,2026-1,ADA120;ADB043,,seed_only_course_has_actual_offering_history_from:2026;first_offering_year_does_not_prove_post_baseline_addition;no_baseline_counterpart,Review curriculum provenance or explicit change metadata. Do not infer a later curriculum addition from offering year alone.
2024,needs_manual_mapping,high,code_pair,호흡기계 및 소화기계 질환 약물치료학,ADB071,ADA145,4,4,2,2,전선,전선,2,2,,seed_code_only_in_db,,2022-1;2023-1;2024-1;2025-1;2026-1,ADA145,,baseline_plan_code_has_no_offering_history;seed_code_has_actual_offering_history;cannot_infer_historical_identity_from_name_alone,Review planned curriculum code versus actual operational code. Do not automatically replace baseline code.
2022,legitimate_post_baseline_transition,high,code_pair,건강기능식품학,ADA182,ADB050,4,4,1,2,전선,전선,2,2,,baseline_then_seed,2022-1;2023-1;2024-2,2025-2;2026-2,ADA182;ADB050,,baseline_code_was_offered_first;seed_code_was_offered_only_later;same_name_unique_pair,Preserve historical baseline code; keep later operational seed code if change metadata is recorded.
2022,legitimate_post_baseline_transition,high,same_code_changed,바이오의약품학,ADB056,ADB056,4,5,2,2,전선,전선,2,2,grade,,,,,2026,seed_attribute_change_metadata_matches_all_baseline_previous_values;effective_year=2026,Preserve baseline attributes and keep current seed attributes with change metadata.
2022,legitimate_post_baseline_transition,high,same_code_changed,심혈관계 질환 약물치료학,ADB082,ADB082,5,4,2,2,전선,전선,3,3,grade,,,,,2025,seed_attribute_change_metadata_matches_all_baseline_previous_values;effective_year=2025,Preserve baseline attributes and keep current seed attributes with change metadata.
2022,legitimate_post_baseline_transition,high,same_code_changed,약물유전체학,ADB085,ADB085,5,3,2,1,전선,전선,3,3,grade;semester,,,,,2024,seed_attribute_change_metadata_matches_all_baseline_previous_values;effective_year=2024,Preserve baseline attributes and keep current seed attributes with change metadata.
2022,legitimate_post_baseline_transition,high,same_code_changed,약학용어,ADB076,ADB076,5,3,1,2,전선,전필,2,1,grade;semester;completion_type;credits,,,,,2024,seed_attribute_change_metadata_matches_all_baseline_previous_values;effective_year=2024,Preserve baseline attributes and keep current seed attributes with change metadata.
2022,legitimate_post_baseline_transition,high,same_code_changed,의약정보학과 경제성평가,ADB073,ADB073,4,5,2,1,전필,전필,2,2,grade;semester,,,,,2026,seed_attribute_change_metadata_matches_all_baseline_previous_values;effective_year=2026,Preserve baseline attributes and keep current seed attributes with change metadata.
2022,legitimate_post_baseline_transition,high,same_code_changed,의약품설계학,ADB066,ADB066,4,4,2,1,전선,전선,3,2,semester;credits,,,,,2025,seed_attribute_change_metadata_matches_all_baseline_previous_values;effective_year=2025,Preserve baseline attributes and keep current seed attributes with change metadata.
2022,legitimate_post_baseline_transition,high,same_code_changed,의약화학1,ADB047,ADB047,4,4,1,1,전선,전필,2,2,completion_type,,,,,2025,seed_attribute_change_metadata_matches_all_baseline_previous_values;effective_year=2025,Preserve baseline attributes and keep current seed attributes with change metadata.
